CELEX,Directive name,Date of document,Date of effect,Amending,Country Code,Country,Measure Title,Transposition Deadline,Publication Date,Subject matter,Compliance_days,Compliance_weeks,Compliance_months
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Kärntner Raumordnungsgesetz 2021,2021-06-30,2021-07-26,"Energy, Environment",26.0,3.7142857142857144,0.8666666666666667
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Landesgesetz, mit dem das Landesgesetz über begleitende Maßnahmen zur Durchführung und Umsetzung von Rechtsvorschriften der Europäischen Union (Oö. EU-Begleitregelungs- und Umsetzungsgesetz - Oö. EU-BUG) geändert wird",2021-06-30,2024-11-21,"Energy, Environment",1240.0,177.14285714285714,41.333333333333336
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Landesgesetz, mit dem das Oö. EU-Begleitregelungs- und Umsetzungsgesetz geändert wird (Oö. EU-Begleitregelungs- und Umsetzungsgesetz-Novelle 2022)",2021-06-30,2022-05-17,"Energy, Environment",321.0,45.857142857142854,10.7
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Landesgesetz, mit dem das Oö. Elektrizitätswirtschafts- und -organisationsgesetz 2006 und das Oö. Starkstromwegegesetz 1970 geändert werden",2021-06-30,2022-04-19,"Energy, Environment",293.0,41.857142857142854,9.766666666666667
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Landesgesetz, mit dem das Oö. Luftreinhalte- und Energietechnikgesetz 2002 geändert wird (Oö. Luftreinhalte- und Energietechnikgesetz-Novelle 2019 - Oö. LuftREnTG-Novelle 2019)",2021-06-30,2019-05-29,"Energy, Environment",-763.0,-109.0,-25.433333333333334
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"Landesgesetz, mit dem das Oö. Raumordnungsgesetz 1994, die Oö. Bauordnung 1994, das
Oö. Bautechnikgesetz 2013 und das Oö. Natur- und Landschaftsschutzgesetz 2001
geändert werden (Oö. Raumordnungsgesetz-Novelle 2021)",2021-06-30,2020-12-18,"Energy, Environment",-194.0,-27.714285714285715,-6.466666666666667
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,Leitfaden Sachbereichskonzept Energie 2023,2021-06-30,2023-11-01,"Energy, Environment",854.0,122.0,28.466666666666665
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,NÖ Elektrizitätswesengesetz – Änderung,2021-06-30,2022-06-13,"Energy, Environment",348.0,49.714285714285715,11.6
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"NÖ Energieeffizienzgesetz 2012 (NÖ EEG 2012), LGBl. 7830-0 in der geltenden Fassung",2021-06-30,2020-05-27,"Energy, Environment",-399.0,-57.0,-13.3
32018L2001,Directive (EU) 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources (recast) (Text with EEA relevance.),2018-11-12,2018-12-24,False,AUT,Austria,"NÖ Landes-Verwaltungsabgabenverordnung 2001, LGBl. 3800/1-0 in der geltenden Fassung",2021-06-30,2021-01-19,"Energy, Environment",-162.0,-23.142857142857142,-5.4
